animal	treatment	tank	dose	TD	Binary
96	Low_salinity	11	1	7	1
97	Low_salinity	11	1	7	1
98	Low_salinity	11	1	7	1
99	Low_salinity	11	1	7	1
100	Low_salinity	11	1	7	1
101	Low_salinity	11	1	7	1
102	Low_salinity	11	1	7	1
103	Low_salinity	11	1	7	1
104	Low_salinity	11	1	7	1
105	Low_salinity	11	1	7	1
106	Low_salinity	12	1	7	1
107	Low_salinity	12	1	7	1
108	Low_salinity	12	1	7	1
109	Low_salinity	12	1	7	1
110	Low_salinity	12	1	7	1
111	Low_salinity	12	1	7	1
112	Low_salinity	12	1	7	1
113	Low_salinity	12	1	7	1
114	Low_salinity	12	1	8	0
115	Low_salinity	12	1	8	0
116	Low_salinity	12	1	8	0
117	Low_salinity	12	1	8	0
118	Low_salinity	12	1	8	0
119	Low_salinity	12	1	8	0
120	Low_salinity	12	1	8	0
121	High_Salinity	13	1	7	1
122	High_Salinity	13	1	8	0
123	High_Salinity	13	1	8	0
124	High_Salinity	13	1	8	0
125	High_Salinity	13	1	8	0
126	High_Salinity	13	1	8	0
127	High_Salinity	13	1	8	0
128	High_Salinity	13	1	8	0
129	High_Salinity	13	1	8	0
130	High_Salinity	13	1	8	0
131	High_Salinity	13	1	8	0
132	High_Salinity	13	1	8	0
133	High_Salinity	13	1	8	0
134	High_Salinity	13	1	8	0
135	High_Salinity	14	1	7	1
136	High_Salinity	14	1	8	0
137	High_Salinity	14	1	8	0
138	High_Salinity	14	1	8	0
139	High_Salinity	14	1	8	0
140	High_Salinity	14	1	8	0
141	High_Salinity	14	1	8	0
142	High_Salinity	14	1	8	0
143	High_Salinity	14	1	8	0
144	High_Salinity	14	1	8	0
145	High_Salinity	14	1	8	0
146	High_Salinity	14	1	8	0
147	High_Salinity	14	1	8	0
148	High_Salinity	14	1	8	0
149	High_Salinity	14	1	8	0
150	High_Salinity	14	1	8	0
151	High_Salinity	15	1	8	0
152	High_Salinity	15	1	8	0
153	High_Salinity	15	1	8	0
154	High_Salinity	15	1	8	0
155	High_Salinity	15	1	8	0
156	High_Salinity	15	1	8	0
157	High_Salinity	15	1	8	0
158	High_Salinity	15	1	8	0
159	High_Salinity	15	1	8	0
160	High_Salinity	15	1	8	0
161	High_Salinity	15	1	8	0
162	High_Salinity	15	1	8	0
163	High_Salinity	15	1	8	0
164	High_Salinity	15	1	8	0
165	High_Salinity	15	1	8	0
166	High_Salinity	15	1	8	0
167	High_Salinity	16	1	6	1
168	High_Salinity	16	1	7	1
169	High_Salinity	16	1	7	1
170	High_Salinity	16	1	7	1
171	High_Salinity	16	1	7	1
172	High_Salinity	16	1	7	1
173	High_Salinity	16	1	8	0
174	High_Salinity	16	1	8	0
175	High_Salinity	16	1	8	0
176	High_Salinity	16	1	8	0
177	High_Salinity	16	1	8	0
178	High_Salinity	16	1	8	0
179	High_Salinity	16	1	8	0
180	High_Salinity	16	1	8	0
181	High_Salinity	16	1	8	0
182	High_Salinity	16	1	8	0
183	High_Salinity	16	1	8	0
